date,open,high,low,close,index_value,daily_return,cumulative_return
2024-07-31,1150.24,1224.54,1140.32,1214.8,1214.8,4.62,21.48
2024-08-01,1237.82,1256.34,1204.15,1215.41,1215.41,0.05,21.54
2024-08-02,1180.91,1203.43,1145.18,1151.62,1151.62,-5.25,15.16
2024-08-05,1117.61,1144.19,1069.98,1074.54,1074.54,-6.69,7.45
2024-08-06,1109.58,1120.33,1075.55,1097.16,1097.16,2.11,9.72
2024-08-07,1091.92,1110.17,1065.03,1078.29,1078.29,-1.72,7.83
2024-08-08,1060.74,1089.12,1045.46,1071.42,1071.42,-0.64,7.14
2024-08-09,1092.93,1119.95,1078.86,1096.65,1096.65,2.35,9.67
2024-08-12,1088.49,1112.63,1078.3,1092.61,1092.61,-0.37,9.26
2024-08-13,1098.95,1119.44,1083.24,1104.89,1104.89,1.12,10.49
2024-08-14,1116.58,1133.3,1096.89,1100.13,1100.13,-0.43,10.01
2024-08-15,1093.3,1125.0,1087.64,1107.57,1107.57,0.68,10.76
2024-08-16,1119.72,1146.47,1111.69,1125.99,1125.99,1.66,12.6
2024-08-19,1125.28,1155.17,1114.63,1133.65,1133.65,0.68,13.37
2024-08-20,1142.5,1147.95,1108.15,1114.19,1114.19,-1.72,11.42
2024-08-21,1106.22,1148.51,1093.94,1123.12,1123.12,0.8,12.31
2024-08-22,1123.85,1135.77,1100.61,1112.11,1112.11,-0.98,11.21
2024-08-23,1103.85,1116.38,1078.62,1095.85,1095.85,-1.46,9.58
2024-08-26,1100.33,1108.66,1060.26,1072.41,1072.41,-2.14,7.24
2024-08-27,1066.98,1082.09,1050.13,1065.31,1065.31,-0.66,6.53
2024-08-28,1060.88,1081.91,1042.7,1054.46,1054.46,-1.02,5.45
2024-08-29,1028.97,1055.35,1010.18,1044.11,1044.11,-0.98,4.41
2024-08-30,1043.0,1108.41,1036.38,1091.31,1091.31,4.52,9.13
2024-09-02,1096.07,1106.43,1048.48,1049.42,1049.42,-3.84,4.94
2024-09-03,1049.91,1069.7,1032.48,1045.23,1045.23,-0.4,4.52
2024-09-04,1015.25,1046.42,1005.59,1032.91,1032.91,-1.18,3.29
2024-09-05,1032.16,1052.42,988.78,999.86,999.86,-3.2,-0.01
2024-09-06,1003.15,1024.29,984.83,996.72,996.72,-0.31,-0.33
2024-09-09,990.29,1013.03,975.5,999.87,999.87,0.32,-0.01
2024-09-10,999.9,1034.28,986.41,1018.63,1018.63,1.88,1.86
2024-09-11,1017.62,1033.26,1007.02,1020.7,1020.7,0.2,2.07
2024-09-12,1039.02,1045.99,1009.99,1011.91,1011.91,-0.86,1.19
2024-09-13,1014.21,1054.66,1001.38,1028.39,1028.39,1.63,2.84
2024-09-18,1021.0,1033.07,994.56,1005.26,1005.26,-2.25,0.53
2024-09-19,1010.24,1021.29,982.26,1004.35,1004.35,-0.09,0.44
2024-09-20,1008.84,1020.06,988.78,999.52,999.52,-0.48,-0.05
2024-09-23,997.81,1026.13,991.31,999.72,999.72,0.02,-0.03
2024-09-24,1001.99,1069.69,992.23,1061.78,1061.78,6.21,6.18
2024-09-25,1079.16,1100.93,1058.17,1060.94,1060.94,-0.08,6.09
2024-09-26,1066.66,1107.08,1052.9,1106.35,1106.35,4.28,10.63
2024-09-27,1111.54,1193.65,1092.16,1174.49,1174.49,6.16,17.45
2024-09-30,1227.12,1369.11,1195.72,1367.51,1367.51,16.43,36.75
2024-10-08,1595.75,1612.4,1479.61,1612.4,1612.4,17.91,61.24
2024-10-09,1570.92,1775.4,1465.16,1590.31,1590.31,-1.37,59.03
2024-10-10,1597.85,1629.66,1427.42,1508.8,1508.8,-5.13,50.88
2024-10-11,1469.07,1542.64,1422.41,1443.08,1443.08,-4.36,44.31
2024-10-14,1444.58,1522.51,1404.82,1514.89,1514.89,4.98,51.49
2024-10-15,1506.97,1550.04,1464.45,1466.58,1466.58,-3.19,46.66
2024-10-16,1416.63,1456.16,1396.64,1413.72,1413.72,-3.6,41.37
2024-10-17,1471.33,1507.21,1436.09,1446.61,1446.61,2.33,44.66
2024-10-18,1447.52,1680.91,1437.48,1628.65,1628.65,12.58,62.87
2024-10-21,1665.45,1778.39,1586.16,1641.85,1641.85,0.81,64.18
2024-10-22,1631.8,1672.07,1583.98,1622.79,1622.79,-1.16,62.28
2024-10-23,1581.78,1632.25,1552.18,1583.48,1583.48,-2.42,58.35
2024-10-24,1559.97,1658.04,1553.22,1612.42,1612.42,1.83,61.24
2024-10-25,1633.53,1670.11,1585.56,1619.59,1619.59,0.44,61.96
